hour of day,average number of patients arriving
00:00,2.415201566979079
01:00,4.697332743782141
02:00,0.7017892754526028
03:00,3.9935939275056436
04:00,1.461529027342797
05:00,1.1374394495665676
06:00,0.2858862879437849
07:00,1.10506302669637
08:00,2.0886064537013644
09:00,5.624330791411982
10:00,1.8975850773400036
11:00,4.784295119556322
12:00,2.124405660857984
13:00,2.753554573607787
14:00,1.5300560869238748
15:00,2.8129501634098215
16:00,3.5950158432162755
17:00,2.8722602374118553
18:00,1.5625656161244033
19:00,2.5874631538904005
20:00,4.681886196647749
21:00,5.183609973902675
22:00,4.307821023938645
23:00,2.4817509737910806
